City,State,city_state,HatecrimeDBcode,census_1990,census_2000,census_2010,Crime Data Source,Notes,Grade,ann_pct_change,proj_pct_change,Hate Crime Trend
Arvada,CO,Arvada_CO,CO0300100,"89,235","102,153","106,433","https://arvada.org/city-hall/transparency/opendata/crime-reports
https://arvada.org/residents/police-services/order-a-crime-report","links to lexisnexis and crimereports, anonymized to block
full police reports must be submitted in person",B-,-0.19,0,Flat
Athens,GA,Athens_GA,AL0440100,"45,734","101,489","115,452","https://www.athensclarkecounty.com/201/Public-Information
https://www.crimereports.com/agency/accpolice#!/dashboard?incident_types=Assault%252CAssault%2520with%2520Deadly%2520Weapon%252CBreaking%2520%2526%2520Entering%252CDisorder%252CDrugs%252CHomicide%252CKidnapping%252CLiquor%252COther%2520Sexual%2520Offense%252CProperty%2520Crime%252CProperty%2520Crime%2520Commercial%252CProperty%2520Crime%2520Residential%252CQuality%2520of%2520Life%252CRobbery%252CSexual%2520Assault%252CSexual%2520Offense%252CTheft%252CTheft%2520from%2520Vehicle%252CTheft%2520of%2520Vehicle&start_date=2019-02-25&end_date=2019-03-11&days=sunday%252Cmonday%252Ctuesday%252Cwednesday%252Cthursday%252Cfriday%252Csaturday&start_time=0&end_time=23&include_sex_offenders=false&lat=33.949597&lng=-83.370088&zoom=14&current_tab=map&shapeGroup=City%2520Boundaries&shapeIds=",redirects to CrimeReports website,B-,0.84,3,Increasing
Atlanta,GA,Atlanta_GA,GAAPD0000,"394,017","416,474","420,003",http://opendataportal.azurewebsites.us/Crimedata/Default.aspx,Mostly anonymized data - full incident address shown.,C+,-3.43,-1,Decreasing
Augusta-Richmond,GA,Augusta-Richmond_GA,GA1210000,"44,639","199,775","195,844",http://www.richmondcountysheriffsoffice.com/incident-reports.cfm,No online data available. Incident reports available in person.,A-,-0.04,0,Flat
Aurora,CO,Aurora_CO,CO0010100,"222,103","276,393","325,078",https://www.auroragov.org/residents/public_safety/police/crime_data,Can purchase reports (some restrictrions). Data only shown in aggregate. No direct or indirect identifiers.,B,-11.08,-0.62,Decreasing
Aurora,IL,Aurora_IL,CO0010100,"99,581","142,990","325,078",,No online data available.,A,-11.08,0,Flat
Austin,TX,Austin_TX,TX2270100,"465,622","656,562","790,390",https://www.austintexas.gov/police/reports/index.cfm,"Database only has data from 8/17 onward, not all cases included. For those that are, direct identifiers (full victim info) included. Ex: https://www.austintexas.gov/police/reports/search2.cfm?choice=caseno&caseno=2017-2880227&Submit=Submit",D+,-14.99,-0.67,Decreasing
Bakersfield,CA,Bakersfield_CA,CA0150200,"174,820","247,057","347,483",,No online data available.,A,-1.37,-0.14,Flat
Baltimore,MD,Baltimore_MD,MDBPD0000,"736,014","651,154","620,961",https://data.baltimorecity.gov/Public-Safety/BPD-Part-1-Victim-Based-Crime-Data/wsfq-mvij,No direct or indirect identifiers. Incident address anonymized,B-,-4.7,-2.5,Decreasing
Baton Rouge,LA,Baton_Rouge_LA,LA0170200,"219,531","227,818","229,493",https://data.brla.gov/Public-Safety/Baton-Rouge-Crime-Incidents/fabb-cnnu,Incident addresses shown (do not appear to be anonymized).,C+,-0.59,-1,Decreasing
Beaumont,TX,Beaumont_TX,TX1230100,"114,323","113,866","118,296",https://p2c.beaumonttexas.gov/p2c/Summary.aspx,"Full reports available. Test case listed victim's name, witness name and address.",F,2.09,1,Increasing
Bellevue,WA,Bellevue_WA,WA0170200,"86,874","109,569","122,363",https://police.bellevuewa.gov/about-bellevue-police/public-records-request,"Reports with direct identifiers available for a fee, aggregate data available",B,-7.01,-0.44,Flat
Berkeley,CA,Berkeley_CA,SC0080000,"102,724","102,743","112,580","https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-Log-Arrests/xi7q-nji6
https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-Calls-for-Service/k2nh-s5h5",Direct identifiers for arrestees,C-,-9.15,-0.21,Flat
Billings,MT,Billings_MT,MT0560100,"81,151","89,847","104,170",https://www.ci.billings.mt.us/1773/Crime-Statistics,"Anonymized location data only, within the last 6 months. No direct or indirect identifiers. Data older than 6 months is all aggregated into Annual Reports. Lnks to CrimeMapping (incident address anonymized to the block).",B-,3.01,3,Increasing
Birmingham,AL,Birmingham_AL,AL0010200,"265,968","242,820","212,237",https://data.birminghamal.gov/dataset/birmingham-al-crime-data,Can purchase reports. Open data only shown in aggregate. No direct or indirect identifiers.,B,-1.57,-1,Decreasing
Boise,ID,Boise_ID,ID0010100,"125,738","185,787","205,671",https://police.cityofboise.org/neighborhood-services/crime-statistics/,Crime stats only in aggregate. Crime mapping tool does not seem to work.,B+,0.75,0.07,Flat
Boston,MA,Boston_MA,MA0130100,"574,283","589,141","617,594",https://data.boston.gov/dataset/crime-incident-reports-august-2015-to-date-source-new-system/resource/12cb3883-56f5-47de-afa5-3b1cf61b257b,Fully anonymized data - no direct or indirect identifiers (incident address street name only - not the block). Hate crimes data may not be included at all - no matches for incident numbers.,B+,2.84,0.02,Flat
Bridgeport,CT,Bridgeport_CT,CT0001500,"141,686","139,529","144,229",https://www.bridgeportct.gov/content/341307/341425/341439/341669.aspx,Full incident reports available with direct identifiers.,F,0.23,0,Flat
Buffalo,NY,Buffalo_NY,NY0140100,"328,123","292,648","261,310",https://data.buffalony.gov/Public-Safety/Crime-Incidents/d6g9-xbgu,Fully anonymized - no direct or indirect identifiers. Incident addresses anonymized to the block.,B-,6.08,1,Increasing
Burbank,CA,Burbank_CA,IL0168C00,"93,643","100,316","103,340",https://www.burbankpd.org/crime-information/daily-arrest-logs/,"direct identifiers for arrestees
",C-,0.78,0.12,Flat
Cambridge,MA,Cambridge_MA,MA0091100,"95,802","101,355","105,162",https://data.cambridgema.gov/Public-Safety/Crime-Reports/xuad-73uj,anonymized to the block,B-,-0.2,-0.12,Flat
Cape Coral,FL,Cape_Coral_FL,FL0360200,"74,991","102,286","154,305",https://www.capecops.com/crime-map,anonymized to the block,B-,0.01,0,Flat
Carlsbad,CA,Carlsbad_CA,CA0370100,"63,126","78,247","105,328",http://www.carlsbadca.gov/services/depts/police/crime/default.asp,"Anonymized location data, aggregated crime statistics by year",B+,-1.73,-0.29,Flat
Carrollton,TX,Carrollton_TX,TX0570400,"82,169","109,576","119,097",https://www.cityofcarrollton.com/departments/departments-g-p/police/records-requests,"Crash reports available for a fee, links to LexisNexus, anonymized by block, can request full reports with direct identifiers for a fee, direct identifiers for current suspects in jail",C-,-0.33,-1,Decreasing
Cary,NC,Cary_NC,NC0920300,"43,858","94,536","135,234",http://policereports.townofcary.org/summary.aspx,"Full victim name, address
accessible immediately, no fee",F,0.25,0,Flat
Cedar Rapids,IA,Cedar_Rapids_IA,IA0570100,"108,751","120,758","126,326",http://www.cedar-rapids.org/local_government/departments_g_-_v/police/statistics.php,Overall data shown in aggregate. Calls log shown for the last month with exact incident addresses. Reports available in person.,C+,0.49,0,Flat
Centennial,CO,Centennial_CO,CO0031100,N/A,N/A,"100,377",http://www.centennialco.gov/City-Clerk/find-city-records.aspx,Can request direct and indirect identifiers if other direct and indirect identifiers are provided.,D-,0.29,0,Flat
Chandler,AZ,Chandler_AZ,AZ0070500,"90,533","176,581","236,123",https://www.chandlerpd.com/data/,Redirects to LexisNexis for crime data. No direct or inderect identfiers. Incident addresses anonoymized to the block.,B-,-1.89,-2,Decreasing
Charleston,SC,Charleston_SC,SC0100000,"80,414","96,650","120,083",http://p2c.charleston-sc.gov/p2c/Summary.aspx,"Full name of arrestee and full address of arrest location
(same interface as Cary, NC... but doesn't attach the full police report)",C-,-1.78,0.5,Increasing
Charlotte,NC,Charlotte_NC,MI2330700,"395,934","540,828","731,424",https://policereports.lexisnexis.com/search/search,"No online records - can request reports online, but the case numbers return no results.",B+,-0.33,0,Flat
Chattanooga,TN,Chattanooga_TN,TN0330100,"152,466","155,554","167,674",https://data.chattlibrary.org/Public-Safety/Police-Incident-Data/jstk-5mri,Fully anonymized data - address anonymized to the block.,B-,6.08,1.5,Increasing
Chesapeake,VA,Chesapeake_VA,VA1030000,"151,976","199,184","222,209",http://www.cityofchesapeake.net/Page3159.aspx,Redirects to Crimemapping.com (incident address anonymized to the block),B-,4.12,0.67,Increasing
Chicago,IL,Chicago_IL,ILCPD0000,"2,783,726","2,896,016","2,695,598",https://home.chicagopolice.org/inside-the-cpd/statistical-reports/hate-crime-reports/,No online data available.,A,-8.76,-0.27,Flat
Chula Vista,CA,Chula_Vista_CA,CA0370200,"135,163","173,556","243,916",https://www.chulavistaca.gov/departments/police-department/services/request-a-copy-of-a-report,"police reports must be requested in-person
fully de-identified, aggregated data is available at the URL (data through CrimeMapping.com - incident address anonymized to the block)",B-,1.01,1,Increasing
Cincinnati,OH,Cincinnati_OH,OHCIP0000,"364,040","331,285","296,943",https://data.cincinnati-oh.gov/Safer-Streets/Crime-Incidents/5tej-8s6f,Fully anonymized - no direct or indirect identifiers. Incident addresses anonymized to the block.,B-,1.83,0.05,Flat
Clarksville,TN,Clarksville_TN,IN0100200,"75,494","103,455","132,929",http://www.cityofclarksville.com/index.aspx?page=717,must include name of people appearing in the report in order to receive the report; report can be submitted via email,A-,5.57,1.5,Increasing
Clearwater,FL,Clearwater_FL,FL0520300,"98,784","108,787","107,685",https://mycusthelp.info/CLEARWATERFL/_rs/(S(obzdgef3qub5utsgemp5q4mw))/SupportHome.aspx,"Can submit records requests anonymously, containing direct identifiers",C,-0.51,-1,Decreasing
Cleveland,OH,Cleveland_OH,OHCLP0000,"505,616","478,403","396,815",http://www.city.cleveland.oh.us/CityofCleveland/Home/Government/CityAgencies/PublicSafety,No online data available.,A,-12.55,-0.92,Decreasing
College Station,TX,College_Station_TX,TX0210200,"52,456","67,890","93,857",http://www.cstx.gov/index.aspx?page=3920,"Anonymized location data only, within the last month. Links to CrimeMapping for other data (incident address anonymized to the block). No direct or indirect identifiers. Data older than 1 month is all presented in aggregate. ",B-,-0.47,0,Flat
Colorado Springs,CO,Colorado_Springs_CO,CO0210100,"281,140","360,890","416,427",https://coloradosprings.gov/police-department/page/public-information?mlid=4956,Redirects to RAIDs for crime data. No direct or inderect identfiers. Incident addresses anonoymized to the block.,B-,-0.06,0,Flat
Columbia,SC,Columbia_SC,MO0100200,"98,052","116,278","129,272",https://coc-colacitygis.opendata.arcgis.com/datasets/c61a0a2198c8423c9c93d3890c7ffc74_0/data,Data anonymized to the block. Reports available by mail or in person.,B-,2.8,1,Increasing
Columbus,OH,Columbus_OH,OHCOP0000,"632,910","711,470","787,033",http://www.columbuspolice.org/reports/SearchMain,"Unofficial - not all cases shown. For those that are (ex: http://www.columbuspolice.org/reports/PublicReport?caseID=937508 ), location shown - only a direct ID if a residence.",C+,-8.83,-0.1,Flat
Columbus,GA,Columbus_GA,OHCOP0000,"179,278","186,291","787,033",https://www.columbusga.gov/police/Records.htm,No online data available. Reports available for a fee - request in writing.,B,-8.83,-0.25,Flat
Concord,CA,Concord_CA,MA0091400,"111,348","121,780","122,067",http://cityofconcord.org/214/Records-Bureau,No online data. Reports available in person with fee and ID.,A-,0.34,0,Flat
Coral Springs,FL,Coral_Springs_FL,FL0062800,"79,443","117,549","121,096",https://www.coralsprings.org/government/other-departments-and-services/police/safety-crime-prevention,Redirects to LexisNexis (anonymized to the block). Reports in person.,B-,0.12,0,Flat
Corona,CA,Corona_CA,CA0331500,"76,095","124,966","152,374",https://www.coronaca.gov/government/departments/police-department,"Links to CrimeMapping.com for data (fully anonymized - incident address to the block). ""Releasable"" reports available in person for a fee.",B-,-0.66,-0.5,Decreasing
Corpus Christi,TX,Corpus_Christi_TX,TX1780200,"257,453","277,454","305,215",https://www.cctexas.com/police,No online data available.,A,-0.12,0,Flat
Costa Mesa,CA,Costa_Mesa_CA,CA0300400,"96,357","108,724","109,960",https://www.costamesaca.gov/city-hall/city-departments/police/services-fees,"Records with direct identifiers available for a fee in person or mailed in, with name and DOB of requestor",A-,0.2,0,Flat
Dallas,TX,Dallas_TX,TX0570000,"1,006,877","1,188,580","1,197,816",https://www.dallasopendata.com/Public-Safety/Police-Incidents/qv6i-rri7/data,"Full victim data available, including direct identifiers (name, address)",F,-4.69,-0.36,Flat
Daly City,CA,Daly_City_CA,CA0410600,"92,311","103,621","101,123",http://www.dalycity.org/City_Hall/Departments/police_department/services/police_reports.htm,"form can be submitted online or in-person
must be a named involved party to the case",A,1.5,1,Increasing
Dayton,OH,Dayton_OH,TX1460300,"182,044","166,179","141,527",http://www.daytonohiopolice.com/GetReports/,"online portal, past 60 days only, incident number is query key
unsure of granularity of report data",D,3.35,1.5,Increasing
Denton,TX,Denton_TX,TX0610200,"66,270","80,537","113,383",https://dpdjailview.cityofdenton.com/,"Mugshot, full name, and DOB of arrestee",C-,-0.98,-0.25,Flat
Denver,CO,Denver_CO,CODPD0000,"467,610","554,636","600,158",https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-crime,Partially anonymized incident addresses - do not appear to be anonymized for hate crimes. No other identifiers.,C+,6.79,0.58,Increasing
Des Moines,IA,Des_Moines_IA,IA0770300,"193,187","198,682","203,433",https://www.dmgov.org/Departments/Police/Pages/Crimemapping.aspx,Redirects to Crimemapping.com (incident address anonymized to the block),B-,-0.66,-1,Decreasing
Detroit,MI,Detroit_MI,MI8234900,"1,027,974","951,270","713,777",https://data.detroitmi.gov/Public-Safety/DPD-All-Crime-Incidents-December-6-2016-Present/6gdg-y3kf,Anonymized incident addresses. No direct identifiers.,B-,-10.16,-0.23,Flat
Downey,CA,Downey_CA,CA0192000,"91,444","107,323","111,772",http://www.downeyca.org/depts/police/admin/records.asp,"Crimereports, LexisNexus, incident address to the block",B-,-0.02,0,Flat
Durham,NC,Durham_NC,NC0320000,"136,611","187,035","228,330",https://durhamnc.gov/719/Crime-Statistics,"Crime stats only in the aggregate. Otherwise, redirects to LexisNexis for crime data. No direct or inderect identfiers. Incident addresses anonoymized to the block. Open data page links are broken. Police reports available for less than the past six months at https://p2c.durhamnc.gov/Summary.aspx - direct identifiers of suspects and relatives shown.",C-,-3.04,-0.19,Flat
El Monte,CA,El_Monte_CA,CA0192200,"106,209","115,965","113,475",https://www.ci.el-monte.ca.us/565/Community-Crime-Mapping,"Embedded crime map, anonymized to the block. Reports available by mail to involved parties.",B-,2.61,1,Increasing
El Paso,TX,El_Paso_TX,TX0710200,"515,342","563,662","649,121",,No online data available.,A,-1.85,-1,Decreasing
Elgin,IL,Elgin_IL,IL0450600,"77,010","94,487","108,188",http://www.cityofelgin.org/1454/Crime-Statistics,"Anonymized location data, aggregated crime statistics. Links to CrimeMapping (incident address anonymized to the block).",B-,0.98,0,Flat
Elizabeth,NJ,Elizabeth_NJ,NJ0200400,"110,002","120,568","124,969",http://www.elizabethnj.org/index.html,No online data.,A,-1.09,-1,Decreasing
Elk Grove,CA,Elk_Grove_CA,CA0340H00,"17,483","59,984","153,015",http://www.elkgrovepd.org/about_us/forms/report_requests,"Request must be submitted in-person, via mail, or fax",A-,-0.18,0,Flat
Erie,PA,Erie_PA,NY0140000,"108,718","103,717","101,786",http://oldpolice.erie.pa.us/Home.aspx,Literally no information about police reports,A,0.8,0,Flat
Escondido,CA,Escondido_CA,CA0370600,"108,635","133,559","143,911",https://police.escondido.org/crime-mapping.aspx,Data available only through CrimeMapping (incident address anonymized to the block). Reports available with ID in person.,B-,2.33,0.4,Flat
Eugene,OR,Eugene_OR,OR0200200,"112,669","137,893","156,185",https://www.eugene-or.gov/542/Crime-Statistics,Aggregated stats. Reports available by mail/fax/in person (not all are releasable). Links to crimemapping.com (incident address anonymized to the block).,B-,-9.2,-0.12,Flat
Evansville,IN,Evansville_IN,WY0130400,"126,272","121,582","117,429",http://www.evansvillepolice.com/crime-analysis-map,"Data through a crime map - fully anonymized. Weekly crime reports provided, including direct identifiers - victim's names. Reports available in person with a fee.",D+,-0.9,-1,Decreasing
Everett,WA,Everett_WA,WA0310300,"69,961","91,488","103,019",https://everettwa.mycusthelp.com/WEBAPP/_rs/(S(5rmtq4mifekac0oabkoa4vsk))/RequestLogin.aspx?sSessionID=&rqst=3&target=YpURA3m6cNU+N1K9kEqQhqz8yC2ZLKNdSdB4wnowVJ5S8CGTBp2GIItHg4/I0pUMVtKVBt74dC4B8Fg0Spu/B79ohSfijKlagRoAbeqhYt4=,No online data available.,A,-3.35,-0.17,Flat
Fairfield,CA,Fairfield_CA,CT0005100,"77,211","96,178","105,321",http://www.fairfield.ca.gov/gov/depts/police/,"Anonymized location data, direct and indirect identifiers detailing each police interaction, including names of the officers and of the parties",F,-1.09,-0.67,Decreasing
Fargo,ND,Fargo_ND,ND0090200,"74,111","90,599","105,549",http://fargond.gov/city-government/departments/police/police-records-data,"Anonymized location data (to the block), aggregated crime statistics by year",B-,4.96,1.67,Increasing
Fayetteville,NC,Fayetteville_NC,NC0260100,"75,695","121,015","200,564",http://p2c.faypd.com/Summary.aspx,Reports online for free with full direct identifiers for victims.,F,-0.25,0.14,Flat
Flint,MI,Flint_MI,MI2539800,"140,761","124,943","102,434",https://www.cityofflint.com/public-safety/police-department/crime-summary-comparisons/,"Data shown in aggregate. Links to CrimeMapping.com (fully anonymized - incident address to the block). Incident reports not available - just vehicle crash reports, in person.",B-,-9.17,-1,Decreasing
Fontana,CA,Fontana_CA,CA0360400,"87,535","128,929","196,069",https://www.fontana.org/417/Police-Reports,Reports available for a fee - in person or by mail. Crime data redirects to CrimeMapping.com (incident address anonymized to the block).,B-,-0.48,0,Flat
Fort Collins,CO,Fort_Collins_CO,CO0350300,"87,758","118,652","143,986",https://opendata.fcgov.com/Safe-Community/Fort-Collins-Public-Incident-Log/ht5q-h5ms,Exact incident address shown in data.,C+,2.51,3,Increasing
Fort Lauderdale,FL,Fort_Lauderdale_FL,FL0060300,"149,377","152,397","165,521",https://www.flpd.org/community/crime-statistics,"Anonymized hate crime data (incident address to the block). Requests for reports can be made in person, by phone, or by email.",B-,-2.46,-0.33,Flat
Fort Wayne,IN,Fort_Wayne_IN,IN0020100,"173,072","205,727","253,691",http://www.fwpd.org/community/crime-stats/,Data only shown in aggregate. No direct or indirect identifiers.,B+,-4.81,-1.25,Decreasing
Fort Worth,TX,Fort_Worth_TX,TX2201200,"447,619","534,694","741,206",https://police.fortworthtexas.gov/Reports/default.aspx,"Can view reports online - legacy reports tool shows reports prior to 10/18. With case number, can view full reports with victim's name.",D+,-6.09,-0.46,Flat
Fremont,CA,Fremont_CA,ID0220000,"173,339","203,413","214,089",https://www.fremontpolice.org/index.aspx?NID=88,Redirects to CrimeReports (anonymized - incident address to the block).,B-,-2.09,-1,Decreasing
Fresno,CA,Fresno_CA,CA0100500,"354,202","427,652","494,665",https://www.fresno.gov/police/records-reports/,No online data available.,A,-8.29,-0.53,Decreasing
Frisco,TX,Frisco_TX,CO0590400,"6,138","33,714","116,989",https://www.friscotexas.gov/Archive.aspx?AMID=51,"date, offense, case #, incident location - anonymized to the block",B-,0.47,0,Flat
Fullerton,CA,Fullerton_CA,CA0300800,"114,144","126,003","135,161",https://www.fullertonpd.org/services/police/raids.asp,"Redirects to LexisNexis (incident address anonymized to the block). Reports available in person, by phone, or by mail, with a fee, only to the victim/legal representative.",B-,0.67,1,Increasing
Gainesville,FL,Gainesville_FL,FL0010100,"84,770","95,447","124,354",https://data.cityofgainesville.org/Community-Model/Crime-Incidents-2011-Present/gvua-xt9q,"Exact time/date, location, incident type, and incident number",C+,1.28,1,Increasing
Garden Grove,CA,Garden_Grove_CA,CA0300900,"143,050","165,196","170,883",https://ggcity.org/police,Redirects to LexisNexis for crime data. No direct or inderect identfiers. Incident addresses anonoymized to the block.,B-,-1.66,-0.25,Flat
Garland,TX,Garland_TX,TX0571100,"180,650","215,768","226,876",http://www.ci.garland.tx.us/gov/lq/safety/police/cwreports.asp,Only selected incident report summaries available (though the incident address is shown).,C+,-1.06,-2,Decreasing
Gilbert,AZ,Gilbert_AZ,AZ0071100,"29,188","109,697","208,453",https://www.gilbertdocs.com/OBWeb/UnityForm.aspx?key=UFSessionIDKey,Reports with direct identifiers available through online requests,C,-0.9,-0.33,Flat
Glendale,AZ,Glendale_AZ,CO0030400,"148,134","218,812","226,721",https://www.glendaleaz.com/police/howtofileapolicereport.cfm,No online data available.,A,-0.15,0.4,Flat
Glendale,CA,Glendale_CA,CO0030400,"180,038","194,973","226,721",https://www.glendaleca.gov/government/departments/police-department/crime-prevention-crime-statistics/crime-statistics,"For victims, no direct or indirect indentifiers. For arrests, a month of booking logs on the site, containing very detailed personal information.",C-,-0.15,-2,Decreasing
Grand Prairie,TX,Grand_Prairie_TX,TX0571200,"99,616","127,427","175,396",http://p2c.gptx.org/Summary.aspx,"Can search incident reports and see the incident address, anonymized to the block. Incident reports are restricted - must request them in person.",B-,-0.14,0,Flat
Grand Rapids,MI,Grand_Rapids_MI,MI4143600,"189,126","197,800","188,040",https://www.grandrapidsmi.gov/Services/View-a-Grand-Rapids-Crime-Map,Redirects to Crimemapping.com (incident address anonymized to the block),B-,-5.55,-0.6,Decreasing
Green Bay,WI,Green_Bay_WI,WI0050200,"96,466","102,313","104,057",https://www.gbpolice.org/content/category/35/records-requests,"Requests must be submitted in-person, by mail, or by email",A-,0.2,0.5,Increasing
Greensboro,NC,Greensboro_NC,NC0410200,"183,521","223,891","269,666",http://p2c.greensboro-nc.gov/Summary.aspx,Direct identifiers present - full report accessible with victim's name and home address.,F,0.85,0.17,Flat
Gresham,OR,Gresham_OR,OR0260100,"68,235","90,205","105,594",https://greshamoregon.gov/Police-Services-and-Resources/,"Anonymized location data only, within the last 6 months. Links to Crimerports (incident address anonymized to the block). No direct or indirect identifiers. Vehicle accident reports can be purchased through a 3rd party site for $16, with the date and incident number provided.",B-,-1.82,-1,Decreasing
Hampton,VA,Hampton_VA,VA1110000,"133,793","146,437","137,436",https://www.hampton.gov/2928/Police-Open-Data-Project,Fully anonymized data. Links to Crime Reports - incident address anonymized to the block.,B-,1.05,-0.33,Flat
Hartford,CT,Hartford_CT,CT0006400,"139,739","121,578","124,775",https://data.ct.gov/browse?q=hartford%20crime&sortBy=relevance,Data has incident addresses. Police reports in person.,C+,-0.78,-0.5,Decreasing
Hayward,CA,Hayward_CA,WI0580100,"111,498","140,030","144,186",https://www.hayward-ca.gov/police-department/monthly-raw-crime-data,"Data only shown in aggregate. No direct or indirect identifiers. Reports available with fee in person, by mail, or by fax.",B,-0.91,-0.25,Flat
Henderson,NV,Henderson_NV,TX1070000,"64,942","175,381","257,729",https://opendata.cityofhenderson.com/browse?category=Crime+Data&limitTo=datasets,Aggregated data only. No direct or indirect identifiers.,B+,-0.82,-1,Decreasing
Hialeah,FL,Hialeah_FL,FL0130400,"188,004","226,419","224,669",,No online data available.,A,0.06,0,Flat
High Point,NC,High_Point_NC,NC0410300,"69,428","85,839","104,371",https://www.highpointnc.gov/1321/Police-Reports,"Anonymized location data, within the last 6 months. Can request direct and indirect identifiers if other direct and indirect identifiers are provided.",D-,-0.15,0,Flat
Hollywood,FL,Hollywood_FL,FL0060500,"121,697","139,357","140,768",http://p2c.hollywoodfl.org/Summary.aspx,No online data. Reports available in person.,A-,-0.35,0,Flat
Houston,TX,Houston_TX,TXHPD0000,"1,630,553","1,953,631","2,099,451",https://www.houstontx.gov/police/cs/index-2.htm,No online data available.,A,-2.11,-0.09,Flat
Huntington Beach,CA,Huntington_Beach_CA,CA0301000,"181,519","189,594","189,992",https://www.huntingtonbeachca.gov/government/transparency/,"Arrest logs covering a one month period contain suspect's full name and age. Otherwise, data redirects to CrimeReports (incident address anonymized to the block).",C-,-0.75,-0.5,Decreasing
Huntsville,AL,Huntsville_AL,AL0470100,"159,789","158,216","180,105",https://www.huntsvilleal.gov/residents/public-safety/huntsville-police/records/reports/,No online data. Reports available in person for a fee.,A-,-0.09,0,Flat
Independence,MO,Independence_MO,OR0270200,"112,301","113,288","116,830",http://www.ci.independence.mo.us/IPD/CrimeStatistics,"Redirects to LexisNexis for data (incident address anonymized to the block). Can request police reports for a fee, in person, by mail, or by fax. Can receive email reports.",B-,1.58,0.25,Flat
Indianapolis,IN,Indianapolis_IN,INIPD0000,"741,952","791,926","820,445",https://pay.indy.gov/incident_reports/search,Full reports available for fee - direct identifier (name) shown for free,D,11.59,11,Increasing
Inglewood,CA,Inglewood_CA,CA0193300,"109,602","112,580","109,673",https://www.cityofinglewood.org/659/Crime-Statistics,"Crime data in aggregate, links to CrimeMapping.com (anonymized to the block). Reports available for a fee in person.",B-,-0.03,0,Flat
Irvine,CA,Irvine_CA,CA0302600,"110,330","143,072","212,375",http://www.cityofirvine.org/irvine-police-department/crime-map,Redirects to LexisNexis for crime data. No direct or inderect identfiers. Incident addresses anonoymized to the block. Reports only released to involved parties.,B-,0.18,0,Flat
Irving,TX,Irving_TX,TX0571500,"155,037","191,615","216,290",https://www.cityofirving.org/1300/Crime-Stats,Redirects to LexisNexis for crime data. No direct or inderect identfiers. Incident addresses anonoymized to the block.,B-,-0.76,-1,Decreasing
Jacksonville,FL,Jacksonville_FL,FL0160200,"635,230","735,617","821,784",http://transparency.jaxsheriff.org/,No online data available.,A,-2.52,-0.33,Flat
